Ticker,Name,ISIN,URL,KGV_1,KUV_1,Datum_1,KGV_2,KUV_2,Datum_2
ELG,,,https://www.boerse.de/aktien/elmos-semiconductor/DE0005677108,9.35,2.07,2026-02-28,,,
ZIL2,,,https://www.boerse.de/aktien/elringklinger-ag-na/DE0007856023,N/A,N/A,2026-02-28,,,
EVK,,,https://www.boerse.de/aktien/evonik-industries-ag-na/DE000EVNK013,N/A,N/A,2026-02-28,,,
EVT,,,https://www.boerse.de/aktien/evotec-se/DE0005664809,,,,,,
V3V,,,https://www.boerse.de/aktien/famicord/DE000A0BL849,,,,,,
FIE,,,https://www.boerse.de/aktien/fielmann-ag/DE0005772206,,,,,,
SIS,,,https://www.boerse.de/aktien/first-sensor-ag/DE0007201907,,,,,,
FTK,,,https://www.boerse.de/aktien/flatexdegiro/DE000FTG1111,,,,,,
FYB,,,https://www.boerse.de/aktien/formycon/DE000A1EWVY8,,,,,,
FEV,,,https://www.boerse.de/aktien/fortec-elektro/DE0005774103,,,,,,
FRA,,,https://www.boerse.de/aktien/fraport/DE0005773303,,,,,,
FNTN,,,https://www.boerse.de/aktien/freenet-ag-na/DE000A0Z2ZZ5,,,,,,
FME,,,https://www.boerse.de/aktien/fresenius-medical-care-ag/DE0005785802,,,,,,
FRE,,,https://www.boerse.de/aktien/fresenius-se-co-kgaa/DE0005785604,,,,,,
VH2,,,https://www.boerse.de/aktien/friedrich-vorwerk-group/DE000A255F11,,,,,,
FPE,,,https://www.boerse.de/aktien/fuchs-se/DE000A3E5D56,,,,,,
FPE3,,,https://www.boerse.de/aktien/fuchs-se-vzo/DE000A3E5D64,,,,,,
GTY,,,https://www.boerse.de/aktien/gateway-r-est-ag/DE000A0JJTG7,,,,,,
G1A,,,https://www.boerse.de/aktien/gea-group/DE0006602006,,,,,,
GXI,,,https://www.boerse.de/aktien/gerresheimer/DE000A0LD6E6,,,,,,
GSC1,,,https://www.boerse.de/aktien/gesco-se-na/DE000A1K0201,,,,,,
GFT,,,https://www.boerse.de/aktien/gft-technologies/DE0005800601,,,,,,
GMM,,,https://www.boerse.de/aktien/grammer-ag/DE0005895403,,,,,,
GLJ,,,https://www.boerse.de/aktien/grenke-ag-na/DE000A161N30,,,,,,
2HRA,,,https://www.boerse.de/aktien/h-r-kgaa/DE000A2E4T77,,,,,,
690D,,,https://www.boerse.de/aktien/haier-smart-home-co-d-yc1/CNE1000031C1,,,,,,
HABA,,,https://www.boerse.de/aktien/hamborner-reit-ag/DE000A3H2333,,,,,,
HHFA,,,https://www.boerse.de/aktien/hamburger-hafen-und-logistik-a-sp/DE000A0S8488,,,,,,
HNR1,,,https://www.boerse.de/aktien/hannover-rueck-se-na/DE0008402215,,,,,,
HLAG,,,https://www.boerse.de/aktien/hapag-lloyd-ag-na/DE000HLAG475,,,,,,
HAW,,,https://www.boerse.de/aktien/hawesko-holding/DE0006042708,,,,,,
HEI,,,https://www.boerse.de/aktien/heidelberg-materials-ag/DE0006047004,,,,,,
HPHA,,,https://www.boerse.de/aktien/heidelberg-pharma-ag/DE000A11QVV0,,,,,,
HDD,,,https://www.boerse.de/aktien/heidelberger-druckmaschinen-ag-o-n/DE0007314007,,,,,,
HLE,,,https://www.boerse.de/aktien/hella-gmbh-co-kgaa/DE000A13SX22,,,,,,
HFG,,,https://www.boerse.de/aktien/hellofresh-se/DE000A161408,,,,,,
HEN,,,https://www.boerse.de/aktien/henkel-ag-co-kgaa-st/DE0006048408,,,,,,
HEN3,,,https://www.boerse.de/aktien/henkel-ag-co-kgaa/DE0006048432,,,,,,
HAG,,,https://www.boerse.de/aktien/hensoldt-ag-na/DE000HAG0005,,,,,,
A3CMGN,,,https://www.boerse.de/aktien/hgears/DE000A3CMGN3,,,,,,
HOT,,,https://www.boerse.de/aktien/hochtief/DE0006070006,,,,,,
HNL,,,https://www.boerse.de/aktien/hoenle/DE0005157101,,,,,,
HBH,,,https://www.boerse.de/aktien/hornbach-holding-st/DE0006083405,,,,,,
BOSS,,,https://www.boerse.de/aktien/hugo-boss-ag-na/DE000A1PHFF7,,,,,,
HYQ,,,https://www.boerse.de/aktien/hypoport-se-na/DE0005493365,,,,,,
INH,,,https://www.boerse.de/aktien/indus-holding/DE0006200108,,,,,,
IFX,,,https://www.boerse.de/aktien/infineon-tech-ag-na/DE0006231004,,,,,,
